,Normal,eyes-zeal,ears-pink-cheek,back-jaguar : beast-back-06,mouth-zigzag : plant-mouth-04,horn-unko : reptile-horn-02,tail-twin-tail : bug-tail-04,,1.4867,1.749,2.6235
901445.8676250001,Normal,eyes-sleepless,ears-nimo,back-balloon : bird-back-02,mouth-catfish : aquatic-mouth-04,horn-eggshell : bird-horn-02,tail-koi : aquatic-tail-02,,,,
,Normal,eyes-mavis,ears-leafy,back-hermit : aquatic-back-02,mouth-serious : plant-mouth-02,horn-lagging : bug-horn-02,tail-carrot : plant-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-clear,ears-beetle-spike,back-blue-moon : aquatic-back-04,mouth-catfish : aquatic-mouth-04,horn-clamshell : aquatic-horn-06,tail-swallow : bird-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-calico-zeal,ears-pointy-nyan,back-hero : beast-back-04,mouth-goda : beast-mouth-04,horn-babylonia : aquatic-horn-02,tail-twin-tail : bug-tail-04,,42.4915,49.99,74.985
,Normal,eyes-little-peas,ears-leafy,back-buzz-buzz : bug-back-06,mouth-humorless : plant-mouth-02,horn-beech : plant-horn-04,tail-fish-snack : bug-tail-06,,16.8725,19.85,29.775
,Normal,eyes-mavis,ears-curved-spine,back-shiitake : plant-back-04,mouth-goda : beast-mouth-04,horn-merry : beast-horn-06,tail-feather-fan : bird-tail-04,,1.4867,1.749,2.6235
1163134.76,Normal,eyes-little-peas,ears-red-nimo,back-bidens : plant-back-06,mouth-doubletalk : bird-mouth-02,horn-babylonia : aquatic-horn-02,tail-wall-gecko : reptile-tail-02,,,,
,Normal,eyes-papi,ears-nyan,back-tri-spikes : reptile-back-04,mouth-goda : beast-mouth-04,horn-winter-branch : beast-horn-02,tail-koi : aquatic-tail-02,,16.8725,19.85,29.775
,Normal,eyes-confused,ears-bubblemaker,back-bidens : plant-back-06,mouth-kotaro : reptile-mouth-04,horn-rose-bud : plant-horn-06,tail-tadpole : aquatic-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-neo,ears-bubblemaker,back-rugged-sail : reptile-back-02,mouth-lam : aquatic-mouth-02,horn-clamshell : aquatic-horn-06,tail-wall-gecko : reptile-tail-02,,16.8725,19.85,29.775
,Normal,eyes-little-peas,ears-nyan,back-jaguar : beast-back-06,mouth-doubletalk : bird-mouth-02,horn-caterpillars : bug-horn-06,tail-cattail : plant-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-zeal,ears-bubblemaker,back-hasagi : beast-back-02,mouth-catfish : aquatic-mouth-04,horn-unko : reptile-horn-02,tail-shiba : beast-tail-06,,16.8725,19.85,29.775
,Normal,eyes-gecko,ears-pogona,back-turnip : plant-back-02,mouth-serious : plant-mouth-02,horn-babylonia : aquatic-horn-02,tail-swallow : bird-tail-02,,1.4867,1.749,2.6235
1499390,Fuzzy,eyes-dreamy-papi,ears-leafy,back-shiitake : plant-back-04,mouth-lam : aquatic-mouth-02,horn-bamboo-shoot : plant-horn-02,tail-namek-carrot : plant-tail-02,,,,
,Normal,eyes-neo,ears-rosa,back-hero : beast-back-04,mouth-mosquito : bug-mouth-02,horn-eggshell : bird-horn-02,tail-shiba : beast-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-little-peas,ears-nut-cracker,back-blue-moon : aquatic-back-04,mouth-nut-cracker : beast-mouth-02,horn-clamshell : aquatic-horn-06,tail-rice : beast-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-papi,ears-pink-cheek,back-goldfish : aquatic-back-06,mouth-serious : plant-mouth-02,horn-scaly-spear : reptile-horn-04,tail-hatsune : plant-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-zeal,ears-larva,back-cupid : bird-back-04,mouth-nut-cracker : beast-mouth-02,horn-scaly-spear : reptile-horn-04,tail-kuro-koi : aquatic-tail-02,,16.8725,19.85,29.775
,Normal,eyes-confused,ears-leafy,back-blue-moon : aquatic-back-04,mouth-skull-cracker : beast-mouth-02,horn-golden-shell : bird-horn-02,tail-nimo : aquatic-tail-04,,42.4915,49.99,74.985
,Normal,eyes-lucas,ears-deadly-pogona,back-goldfish : aquatic-back-06,mouth-catfish : aquatic-mouth-04,horn-antenna : bug-horn-04,tail-swallow : bird-tail-02,,16.8725,19.85,29.775
375500,Normal,eyes-dreamy-papi,ears-nimo,back-shiitake : plant-back-04,mouth-pincer : bug-mouth-04,horn-rose-bud : plant-horn-06,tail-wall-gecko : reptile-tail-02,,,,
,Fuzzy,eyes-papi,ears-leafy,back-turnip : plant-back-02,mouth-zigzag : plant-mouth-04,horn-antenna : bug-horn-04,tail-carrot : plant-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-bookworm,ears-early-bird,back-snail-shell : bug-back-02,mouth-zigzag : plant-mouth-04,horn-teal-shell : aquatic-horn-04,tail-tadpole : aquatic-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-sleepless,ears-tiny-fan,back-green-thorns : reptile-back-06,mouth-toothless-bite : reptile-mouth-02,horn-bamboo-shoot : plant-horn-02,tail-twin-tail : bug-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-zeal,ears-nut-cracker,back-starry-balloon : bird-back-02,mouth-serious : plant-mouth-02,horn-teal-shell : aquatic-horn-04,tail-rice : beast-tail-04,,16.8725,19.85,29.775
