id,hp,price
1,60,2880
2,61,3294
3,46,2254
4,35,420
5,42,3360
6,41,3403
7,30,1830
8,58,1276
9,36,3600
10,52,3588
11,47,3384
12,47,3055
13,46,2392
14,52,2704
15,37,407
16,37,1332
17,44,3124
18,35,2345
19,48,3120
20,45,1215
21,58,2088
22,55,3410
23,57,2166
24,40,3280
25,55,2750
26,41,2255
27,40,2160
28,31,2666
29,54,3078
30,46,322
31,36,432
32,50,1300
33,33,2046
34,29,2581
35,60,5220
36,33,2013
37,28,504
38,37,1776
39,42,1722
40,56,2520
41,39,819
42,47,3572
43,30,2040
44,37,1887
45,41,2132
46,36,1152
47,35,490
48,29,145
49,47,2115
50,32,704
51,28,1036
52,48,3984
53,61,854
54,47,2209
55,54,3942
56,61,793
57,35,1365
58,59,3776
59,52,3900
60,27,2538
61,56,5096
62,39,1989
63,38,2926
64,30,2400
65,37,1702
66,49,3724
67,44,3916
68,61,1891
69,44,924
70,59,118
71,40,1800
72,53,742
73,60,3480
74,61,854
75,49,2695
76,36,36
77,29,1856
78,47,3384
79,46,2116
80,61,4148
81,57,4275
82,43,3870
83,49,1372
84,36,2160
85,32,2144
86,34,1258
87,44,88
88,46,1426
89,30,540
90,30,2700
91,31,1116
92,45,1350
93,35,2625
94,55,3575
95,50,3000
96,31,1829
97,40,200
98,53,318
99,29,2523
100,37,777
101,31,2077
102,32,288
103,47,1551
104,30,1290
105,52,4472
106,33,1848
107,51,2091
108,61,2989
109,28,2520
110,33,3102
111,61,4453
112,38,1406
113,51,4080
114,32,2432
115,45,2790
116,55,660
117,58,754
118,41,2665
119,55,825
120,40,240
121,59,3953
122,38,912
123,36,2520
124,61,3172
125,55,3245
126,38,3040
127,58,2146
128,33,1188
129,60,1800
130,28,2800
131,57,2793
132,36,1620
133,52,4420
134,48,2208
135,30,2640
136,53,3445
137,55,1155
138,39,2028
139,36,324
140,56,2912
141,45,4005
142,57,5700
143,55,3080
144,43,301
145,50,500
146,52,2756
147,27,1215
148,53,2173
149,36,540
150,29,841
151,57,1653
152,53,3074
153,51,3315
154,42,1092
155,41,3649
156,57,1311
157,33,2739
158,34,748
159,32,544
160,28,1484
161,35,735
162,37,555
163,27,1080
164,49,1813
165,28,504
166,53,4876
167,30,630
168,27,324
169,55,165
170,50,1150
171,58,3944
172,33,957
173,38,3572
174,45,3330
175,29,2726
176,49,1274
177,45,4095
178,61,5002
179,46,4232
180,41,2993
181,36,2520
182,36,3060
183,39,1599
184,61,5185
185,42,1008
186,34,2244
187,56,5208
188,28,2212
189,51,2142
190,33,792
191,56,504
192,41,1230
193,44,3300
194,60,2520
195,32,1376
196,53,4558
197,27,2133
198,30,2430
199,38,2660
200,44,3608
201,34,2754
202,60,5760
203,41,410
204,38,836
205,34,2618
206,27,1701
207,49,392
208,56,4424
209,61,2074
210,50,1900
211,27,2295
212,31,1953
213,32,2944
214,47,470
215,53,4611
216,54,2484
217,45,1035
218,38,1862
219,39,3120
220,59,354
221,27,1836
222,57,1710
223,38,3648
224,52,4108
225,46,4002
226,37,2072
227,28,224
228,32,768
229,38,38
230,51,3774
231,30,1890
232,32,2400
233,35,1400
234,51,4896
235,40,3880
236,36,2160
237,31,2294
238,40,480
239,60,2460
240,34,3332
241,60,4200
242,35,805
243,45,450
244,53,2650
245,50,1700
246,59,1180
247,41,1230
248,29,2088
249,44,2640
250,55,1045
251,49,294
252,60,3660
253,45,2655
254,61,427
255,41,1640
256,39,741
257,34,2516
258,60,4980
259,55,3960
260,51,1224
261,60,660
262,44,2068
263,47,4136
264,53,4399
265,35,3220
266,61,4087
267,42,2688
268,52,2808
269,31,713
270,41,451
271,40,2760
272,29,2813
273,39,429
274,52,4004
275,40,3520
276,57,627
277,45,2475
278,59,2773
279,45,1170
280,34,1666
281,27,2646
282,42,504
283,58,5568
284,53,3763
285,60,3960
286,38,1520
287,43,3999
288,54,2430
289,59,2891
290,38,874
291,34,646
292,36,1980
293,57,3135
294,51,1224
295,58,3596
296,29,899
297,35,910
298,47,1598
299,61,4209
300,57,399
301,37,3108
302,31,2077
303,49,1372
304,35,1260
305,54,2592
306,40,2400
307,28,1988
308,28,980
309,31,1240
310,60,1140
311,55,5060
312,35,3010
313,41,2460
314,40,3600
315,46,4278
316,46,3404
317,41,1599
318,34,136
319,30,2970
320,59,4838
321,60,4200
322,44,792
323,31,1302
324,53,689
325,34,3230
326,37,1295
327,42,42
328,45,1935
329,51,4335
330,53,2014
331,29,2813
332,54,2916
333,35,2450
334,39,78
335,32,864
336,41,3403
337,53,265
338,53,1537
339,30,1500
340,52,3796
341,45,540
342,30,2130
343,41,2419
344,31,2728
345,42,3150
346,50,2650
347,41,2952
348,48,3456
349,44,3124
350,42,756
351,61,2501
352,51,3060
353,56,4648
354,51,4641
355,54,486
356,38,532
357,36,3060
358,50,1350
359,45,1845
360,51,2244
361,51,4029
362,61,2196
363,48,3888
364,39,936
365,55,1650
366,42,3654
367,59,3894
368,49,2989
369,33,1980
